Date_reporting,index,Unnamed: 0,Wallonië,België,Vlaanderen,Brussel
2020-05-06,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-06,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-06,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-06,16,Plaats van overlijden,0,0,0,0
2020-05-06,18,Ziekenhuis,129,280,101,50
2020-05-06,19,Bevestigde gevallen,56,118,34,28
2020-05-06,20,Mogelijke gevallen,73,162,67,22
2020-05-06,21,Woonzorgcentrum,31,59,26,2
2020-05-06,22,Bevestigde gevallen,21,46,23,2
2020-05-06,23,Mogelijke gevallen,10,13,3,0
2020-05-06,24,Thuis,0,0,0,0
2020-05-06,25,Overige*,0,0,0,0
2020-05-06,26,Onbekend,0,0,0,0
2020-05-06,27,TOTAAL,160,339,127,52
2020-05-07,0,Plaats van overlijden,0,0,0,0
2020-05-07,2,Ziekenhuis,1502,4002,1789,711
2020-05-07,3,Bevestigde gevallen,1428,3837,1720,689
2020-05-07,4,Mogelijke gevallen,74,165,69,22
2020-05-07,5,Woonzorgcentrum,1421,4327,2315,591
2020-05-07,6,Bevestigde gevallen,281,841,378,182
2020-05-07,7,Mogelijke gevallen,1140,3486,1937,409
2020-05-07,8,Thuis,3,22,15,4
2020-05-07,9,Overige*,17,32,15,0
2020-05-07,10,Onbekend,11,32,20,1
2020-05-07,11,TOTAAL,2954,8415,4154,1307
2020-05-07,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-07,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-07,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-07,16,Plaats van overlijden,0,0,0,0
2020-05-07,18,Ziekenhuis,15,37,20,2
2020-05-07,19,Bevestigde gevallen,14,35,19,2
2020-05-07,20,Mogelijke gevallen,1,2,1,0
2020-05-07,21,Woonzorgcentrum,16,43,20,7
2020-05-07,22,Bevestigde gevallen,15,32,12,5
2020-05-07,23,Mogelijke gevallen,1,11,8,2
2020-05-07,24,Thuis,0,0,0,0
2020-05-07,25,Overige*,0,0,0,0
2020-05-07,26,Onbekend,0,0,0,0
2020-05-07,27,TOTAAL,31,80,40,9
2020-05-09,0,Plaats van overlijden,0,0,0,0
2020-05-09,2,Ziekenhuis,1531,4078,1826,721
2020-05-09,3,Bevestigde gevallen,1451,3902,1752,699
2020-05-09,4,Mogelijke gevallen,80,176,74,22
2020-05-09,5,Woonzorgcentrum,1446,4412,2364,602
2020-05-09,6,Bevestigde gevallen,296,895,408,191
2020-05-09,7,Mogelijke gevallen,1150,3517,1956,411
2020-05-09,8,Thuis,3,22,15,4
2020-05-09,9,Overige*,17,36,19,0
2020-05-09,10,Onbekend,12,33,20,1
2020-05-09,11,TOTAAL,3009,8581,4244,1328
2020-05-09,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-09,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-09,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-09,16,Plaats van overlijden,0,0,0,0
2020-05-09,18,Ziekenhuis,15,37,18,4
2020-05-09,19,Bevestigde gevallen,11,32,17,4
2020-05-09,20,Mogelijke gevallen,4,5,1,0
2020-05-09,21,Woonzorgcentrum,12,39,26,1
2020-05-09,22,Bevestigde gevallen,8,27,18,1
2020-05-09,23,Mogelijke gevallen,4,12,8,0
2020-05-09,24,Thuis,0,0,0,0
2020-05-09,25,Overige*,0,0,0,0
2020-05-09,26,Onbekend,0,0,0,0
2020-05-09,27,TOTAAL,27,76,44,5
2020-05-10,0,Plaats van overlijden,0,0,0,0
2020-05-10,2,Ziekenhuis,1543,4114,1846,725
2020-05-10,3,Bevestigde gevallen,1461,3934,1772,701
2020-05-10,4,Mogelijke gevallen,82,180,74,24
2020-05-10,5,Woonzorgcentrum,1453,4450,2391,606
2020-05-10,6,Bevestigde gevallen,299,922,429,194
2020-05-10,7,Mogelijke gevallen,1154,3528,1962,412
2020-05-10,8,Thuis,3,22,15,4
2020-05-10,9,Overige*,17,37,20,0
2020-05-10,10,Onbekend,12,33,20,1
2020-05-10,11,TOTAAL,3028,8656,4292,1336
2020-05-10,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-10,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-10,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-10,16,Plaats van overlijden,0,0,0,0
2020-05-10,18,Ziekenhuis,12,36,20,4
2020-05-10,19,Bevestigde gevallen,10,32,20,2
2020-05-10,20,Mogelijke gevallen,2,4,0,2
2020-05-10,21,Woonzorgcentrum,7,38,27,4
2020-05-10,22,Bevestigde gevallen,3,27,21,3
2020-05-10,23,Mogelijke gevallen,4,11,6,1
2020-05-10,24,Thuis,0,0,0,0
2020-05-10,25,Overige*,0,1,1,0
2020-05-10,26,Onbekend,0,0,0,0
2020-05-10,27,TOTAAL,19,75,48,8
2020-05-11,0,Plaats van overlijden,0,0,0,0
2020-05-11,2,Ziekenhuis,1557,4149,1856,736
2020-05-11,3,Bevestigde gevallen,1475,3967,1781,711
2020-05-11,4,Mogelijke gevallen,82,182,75,25
2020-05-11,5,Woonzorgcentrum,1450,4465,2408,607
2020-05-11,6,Bevestigde gevallen,307,941,440,194
2020-05-11,7,Mogelijke gevallen,1143,3524,1968,413
2020-05-11,8,Thuis,3,22,15,4
2020-05-11,9,Overige*,17,38,21,0
2020-05-11,10,Onbekend,12,33,20,1
2020-05-11,11,TOTAAL,3039,8707,4320,1348
2020-05-11,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-11,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-11,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-11,16,Plaats van overlijden,0,0,0,0
2020-05-11,18,Ziekenhuis,14,35,10,11
2020-05-11,19,Bevestigde gevallen,14,33,9,10
2020-05-11,20,Mogelijke gevallen,0,2,1,1
2020-05-11,21,Woonzorgcentrum,8,26,17,1
2020-05-11,22,Bevestigde gevallen,8,19,11,0
2020-05-11,23,Mogelijke gevallen,0,7,6,1
2020-05-11,24,Thuis,0,0,0,0
2020-05-11,25,Overige*,0,1,1,0
2020-05-11,26,Onbekend,0,0,0,0
2020-05-11,27,TOTAAL,22,62,28,12
2020-05-12,0,Plaats van overlijden,0,0,0,0
2020-05-12,2,Ziekenhuis,1573,4183,1871,739
2020-05-12,3,Bevestigde gevallen,1489,3999,1796,714
2020-05-12,4,Mogelijke gevallen,84,184,75,25
2020-05-12,5,Woonzorgcentrum,1450,4485,2426,609
2020-05-12,6,Bevestigde gevallen,315,966,456,195
2020-05-12,7,Mogelijke gevallen,1135,3519,1970,414
2020-05-12,8,Thuis,3,22,15,4
2020-05-12,9,Overige*,17,38,21,0
2020-05-12,10,Onbekend,12,33,20,1
2020-05-12,11,TOTAAL,3055,8761,4353,1353
2020-05-12,12,*Andere instellingen en residentiële collectiviteiten | Noot: Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische status,0,0,0,0
2020-05-12,13,van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19-gevallen).,0,0,0,0
2020-05-12,14,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-05-12,16,Plaats van overlijden,0,0,0,0
2020-05-12,18,Ziekenhuis,16,34,15,3
2020-05-12,19,Bevestigde gevallen,14,32,15,3
2020-05-12,20,Mogelijke gevallen,2,2,0,0
2020-05-12,21,Woonzorgcentrum,11,31,18,2
2020-05-12,22,Bevestigde gevallen,8,25,16,1
2020-05-12,23,Mogelijke gevallen,3,6,2,1
2020-05-12,24,Thuis,0,0,0,0
2020-05-12,25,Overige*,0,0,0,0
2020-05-12,26,Onbekend,0,0,0,0
2020-05-12,27,TOTAAL,27,65,33,5
2020-05-13,0,Plaats van overlijden,0,0,0,0
2020-05-13,2,Ziekenhuis,1586,4212,1883,743
2020-05-13,3,Bevestigde gevallen,1500,4025,1807,718
2020-05-13,4,Mogelijke gevallen,86,187,76,25
2020-05-13,5,Woonzorgcentrum,1466,4538,2455,617
2020-05-13,6,Bevestigde gevallen,329,1008,480,199
2020-05-13,7,Mogelijke gevallen,1137,3530,1975,418
